,ATLaS_ID,variable,VT_PBIF,VT_AIF,VT_Rebalanced,VT_PRED_SLOPE
1694,1001,Right-Cerebellum-Cortex,2.63643476331137,2.52841583152396,-0.155817209903809,2.5362955497853594
1716,1001,Right-Thalamus-Proper,3.78420335791439,3.74360137882397,0.738006662468714,3.640468662348445
1738,1001,Right-Caudate,2.79887532878009,2.69697702574286,0.127752412389837,2.692566165328853
1760,1001,Right-Putamen,3.59813832806355,3.36064599564808,0.215209252971684,3.4614709060798097
1782,1001,Right-Pallidum,3.38650336881562,3.33952794858836,0.879486884141088,3.257874438308558
1804,1001,Right-Hippocampus,2.89171203227018,2.8325531775288,0.150667342430749,2.7818766694973376
1826,1001,Right-Amygdala,3.35205561426954,3.17229773910537,0.822129804187196,3.2247351064460146
1848,1001,Right-Accumbens-area,3.18275148629941,3.16082004345029,0.382875234885038,3.0618616258249363
1870,1001,Right-VentralDC,3.12309975914097,3.06645321870521,0.59505530232784,3.0044756391757024
1,1002,ctx-lh-bankssts,4.641621434313211,4.354113038673201,0.1671962387224282,4.548686991511157
23,1002,ctx-lh-caudalanteriorcingulate,4.65717143628552,4.44096151809099,0.182067748144502,4.5639256516842
45,1002,ctx-lh-caudalmiddlefrontal,4.77756558764341,4.46337024192681,0.142415417479482,4.681909273977752
67,1002,ctx-lh-cuneus,4.2244665960116,3.95450468869779,0.0284040907912033,4.139884418254934
89,1002,ctx-lh-entorhinal,4.81215179884919,4.50815636099334,0.10189908531722,4.715803000819495
111,1002,ctx-lh-fusiform,4.48391532098731,4.19766888380482,0.0827390897103875,4.394138466535757
133,1002,ctx-lh-inferiorparietal,4.55212559073642,4.2541429889297,0.0861422622122765,4.4609830317563475
155,1002,ctx-lh-inferiortemporal,4.31361976990624,4.10596150746686,0.0751139798247646,4.227252569252472
177,1002,ctx-lh-isthmuscingulate,4.5756045692762,4.27943246544942,0.159366374106693,4.483991914701509
199,1002,ctx-lh-lateraloccipital,4.2387271387207,3.96071763521061,0.000419055839923521,4.153859436689925
221,1002,ctx-lh-lateralorbitofrontal,5.17514895517824,4.91806587610266,0.237727106579997,5.071532236026673
243,1002,ctx-lh-lingual,4.08575953332629,3.90164067144439,0.0288372039623899,4.003954545343887
265,1002,ctx-lh-medialorbitofrontal,4.84203004344044,4.60774346990102,0.207543631120929,4.745083023851255
287,1002,ctx-lh-middletemporal,4.41893275064087,4.20601734550171,0.0835544004222482,4.330456975791015
309,1002,ctx-lh-parahippocampal,4.23802287553586,3.96311934054803,-0.0198717451315654,4.153169274247163
331,1002,ctx-lh-paracentral,4.28407085267757,4.01667978587388,0.0488736808683323,4.198295279798042
353,1002,ctx-lh-parsopercularis,5.13434224874973,4.80283662169167,0.218785846773037,5.0315425605814506
375,1002,ctx-lh-parsorbitalis,4.62555971170956,4.36092396990252,0.15427246055995,4.532946856366055
397,1002,ctx-lh-parstriangularis,5.05821849509424,4.73961650636768,0.161156440738522,4.956942955056111
419,1002,ctx-lh-pericalcarine,4.79747545720881,4.503967368072,0.196507687172976,4.701420508570329
441,1002,ctx-lh-postcentral,4.3160709875666,4.10878309607688,0.0714882523908356,4.229654708686467
463,1002,ctx-lh-posteriorcingulate,4.83157527663399,4.52990286246201,0.239503602923705,4.734837582157061
485,1002,ctx-lh-precentral,4.44232837270499,4.1725903581116,0.092855652667732,4.353384171222049
507,1002,ctx-lh-precuneus,4.51152642220529,4.23256144893544,0.125907501767871,4.421196738889264
529,1002,ctx-lh-rostralanteriorcingulate,4.92795561355488,4.66345649498273,0.218532633969074,4.829288194080862
551,1002,ctx-lh-rostralmiddlefrontal,4.45913105479365,4.17918397486547,0.0835178600865978,4.369850430377562
573,1002,ctx-lh-superiorfrontal,3.99510817772157,3.74396925055324,0.0107914998099115,3.9151182091976895
595,1002,ctx-lh-superiorparietal,4.00540200204192,3.75441027164053,-0.024225195269564,3.9252059307927194
617,1002,ctx-lh-superiortemporal,4.52713744135672,4.30995121021756,0.115980552484932,4.4364951945568025
639,1002,ctx-lh-supramarginal,4.46951156322849,4.18432773786038,0.0831529820752472,4.380023100499638
661,1002,ctx-lh-frontalpole,3.6590877643329,3.43824037901736,-0.040473946733239,3.5858255891739717
683,1002,ctx-lh-temporalpole,4.71350347628009,4.46861619442146,0.0963788691928527,4.619129812806509
705,1002,ctx-lh-transversetemporal,5.31262531266789,4.98431018589693,0.379296720500551,5.2062560448945625
727,1002,ctx-lh-insula,4.95630030814145,4.63070533264071,0.210245996681838,4.857065371812583
749,1002,ctx-rh-bankssts,4.73151997048719,4.51303121972075,0.203458190821401,4.636785581160784
771,1002,ctx-rh-caudalanteriorcingulate,4.72199804296584,4.46571166775104,0.200576838870754,4.627454301463933
793,1002,ctx-rh-caudalmiddlefrontal,4.44647255164574,4.17134295952296,0.0887757372660285,4.357445375502719
