,tts,1001,1002,1003,1004,1005,1007,1009,1013,1015,1020,1022,1023,PP,MM,FR,KT,JD,PP-r,MM-r,FR-r,KT-r,JD-r
27,405,1.2481339955183488,0.7555352871533412,0.5875142856445192,1.3990243672180345,1.302385433220648,1.484106405798744,0.8642820806285858,0.8047478775763963,0.43637716421644246,0.14868286724784419,0.14228567087809374,0.6026941594635922,0.17559029618223754,1.1147973821333945,0.3778363053672429,2.999433271014553,0.3891658300517946,0.40767764294135356,1.3578344337846886,1.221183121345736,1.0164525838318212,1.3125491514151708
28,420,1.1992489641919235,0.6951135273472886,0.3622461050492847,1.4002928567691013,1.3072252556837416,1.4182747908548352,0.8306547349047602,0.7486870264320924,0.3996985212740132,0.15547444597082904,0.03829148249857006,0.5926968287136889,0.17520239188668363,1.0442663515847617,0.16371492367529505,2.7978428964918516,0.3675892313852174,0.3950053228455208,1.2982032275183952,1.1423126001965684,0.9712559558229774,1.3131304496234524
29,435,1.1526244484377903,0.6337775288562311,0.1586227331317347,1.3833849253064745,1.3074647313150836,1.3540859393064095,0.7961936609750122,0.691049847950195,0.36094990820487105,0.16514817605717802,0.06348162400055735,0.5835026589461849,0.17605849252934558,0.980951668541775,0.030915802745946408,2.6055784625854264,0.34960421976408895,0.38451416614644485,1.239032185663329,1.0692167452663366,0.9277244555841717,1.2934811477194588
30,450,1.107683933786154,0.5720987414709988,0.02504978974352401,1.3503148498146986,1.3037980412059067,1.2915828493051404,0.7612483658847147,0.6325366567532607,0.3207913919270471,0.17805361204278825,0.16249114596703507,0.5746181104967478,0.17812166174373623,0.9243804581089372,0.20760314007434566,2.4222882686353433,0.33497731104369866,0.37608461350431854,1.1810594025274517,1.0014770220570028,0.8854026551536283,1.255843162973866
31,465,1.063974749899888,0.5105426722845863,0.190359575052081,1.3028545279499966,1.2968390708215107,1.2307916391107812,0.7261205480653317,0.5737253347310931,0.27977234364869474,0.1942934294491856,0.25833472846354866,0.5656590405858157,0.18132885088672612,0.8740840313170839,0.3678395788480824,2.2475919312132797,0.32346544094672947,0.3695832629403841,1.124861958742132,0.9386545451610759,0.8439398976349377,1.2021886412175773
32,480,1.0211718063325463,0.44950533684654115,0.33880343366270793,1.2425459145625597,1.2871028930834054,1.1717407007952665,0.6910882348636838,0.5151111988720452,0.23836463739170055,0.2134325329232709,0.350692592151133,0.5563517985177437,0.18558243698437948,0.8295894541848821,0.5130164887278656,2.081125231203406,0.31480399833918504,0.3648552355735988,1.070861171109275,0.8803306505372515,0.8030973313003233,1.1342337988576583
33,495,0.9790652993140041,0.3893321260284317,0.4717932394885107,1.1707231362851518,1.2750068091176292,1.1144669075128704,0.6564142931608594,0.45712763199569206,0.19698050099747766,0.23445972120855885,0.43929888039186604,0.5465222797020965,0.19075269165878783,0.7904203331412987,0.6444065013324547,1.9225574362727311,0.3087074604397593,0.36172544137110796,1.0193397075151083,0.8261250978883359,0.7627381047906079,1.0534635367107343
34,510,0.9396519018046403,0.33196894119297493,0.5915922300049532,1.087076307782164,1.2586850448663247,1.0603764874440187,0.6239833184444197,0.4019856283551251,0.15741825249927555,0.25756194231431584,0.5212075070279543,0.5376491865189017,0.19533781928343963,0.7549684551757734,0.7605303162603461,1.7742868427165481,0.3033703774782541,0.35891358237522475,0.9688100117590759,0.7373186674020227,0.7249702592256408,0.9595329482464905
35,525,0.9006505993798486,0.2759374402666914,0.698455321861934,0.9941540224062004,1.2407283747893656,1.0080724030817696,0.5922875859045136,0.3480753905693428,0.11846803923611082,0.2748140040715499,0.5991223102047343,0.5280404535694316,0.20059973057947955,0.7239713884686982,0.8652230899886231,1.6331887708531019,0.30008682073637694,0.35738032623980276,0.9211003775131115,0.6601990014155419,0.6875117567879627,0.8552786520119202
36,540,0.8610100365646085,0.22063723339443975,0.7930755864918839,0.8935586904914481,1.2224478358096622,0.9569153795655159,0.5607087936451673,0.2947599854068299,0.07967660958580636,0.29991139573263315,0.6742687217778123,0.5169270317631569,0.20704391218866736,0.6975503865983033,0.9628245368834385,1.497661181197877,0.2993158300058769,0.3574782095463571,0.8770456218070093,0.592747116663249,0.6493294491131314,0.7424841521777426
37,555,0.8249271681176884,0.1694870663001935,0.8783711698041246,0.7831720842658996,1.1996888339948883,0.9096232747227453,0.5326440522458178,0.24587552116572375,0.04409638503195712,0.319924331762274,0.7411895212645314,0.5074497572445855,0.21185020296755885,0.6730482106116993,1.0427990222575048,1.3727671840384206,0.2978095200608637,0.3568721115618465,0.8333434586107984,0.5376319090785167,0.5380030513638818,0.6187918328541233
