,ID,Regions,VT_PBIF,VT_AIF,VT_PRED_SLOPE
1122,JD,ctx-lh-entorhinal,3.7436664594717968,3.8564613402129138,3.9226766460822935
1123,JD,ctx-lh-fusiform,3.6533938715837584,3.7515254473097652,3.828087511039589
1124,JD,ctx-lh-inferiorparietal,3.9142410248841566,3.9800756390943866,4.101407543025797
1125,JD,ctx-lh-inferiortemporal,3.5742939659320627,3.6716364412510534,3.7452053002533763
1126,JD,ctx-lh-isthmuscingulate,3.9012071013692657,3.945887024773145,4.087750378870767
1127,JD,ctx-lh-lateraloccipital,3.681893302160028,3.7426357119836635,3.8579496934638082
1128,JD,ctx-lh-lateralorbitofrontal,4.42440559399125,4.560693320283582,4.63596655424107
1129,JD,ctx-lh-lingual,3.7469007542652566,3.8548409036689244,3.9260655945343514
1130,JD,ctx-lh-medialorbitofrontal,3.9999026828816335,4.108663747538419,4.191165268220898
1131,JD,ctx-lh-middletemporal,3.5963769787113304,3.7663442853336537,3.768344252251944
1132,JD,ctx-lh-parahippocampal,3.3658082714268147,3.4094878784594767,3.5267504849722697
1133,JD,ctx-lh-paracentral,3.6424316864466815,3.6767050344757988,3.8166011491820986
1134,JD,ctx-lh-parsopercularis,4.013001648642613,4.116628339794615,4.204890584734719
1135,JD,ctx-lh-parsorbitalis,4.410576767899887,4.488947307327185,4.621476477804351
1136,JD,ctx-lh-parstriangularis,4.018241691781206,4.133222859118674,4.2103811900188015
1137,JD,ctx-lh-pericalcarine,4.485422909393122,4.526454016717267,4.699901523000903
1138,JD,ctx-lh-postcentral,3.548010903168047,3.603588118821113,3.717665465279277
1139,JD,ctx-lh-posteriorcingulate,4.104429614045095,4.349547847502561,4.300690343758586
1140,JD,ctx-lh-precentral,3.6225198592477263,3.655052215331735,3.795737201931523
1141,JD,ctx-lh-precuneus,3.9623232960140813,4.021643673192756,4.151788954963482
1142,JD,ctx-lh-rostralanteriorcingulate,3.8851519120937876,4.027556411238089,4.070927481665272
1143,JD,ctx-lh-rostralmiddlefrontal,3.8185070011287814,3.917387816313447,4.001095823676288
1144,JD,ctx-lh-superiorfrontal,3.4521082113364314,3.5380574506541986,3.617177012684228
1145,JD,ctx-lh-superiorparietal,3.3860921704640567,3.487098105693556,3.548004295349412
1146,JD,ctx-lh-superiortemporal,3.683436137440685,3.7903837527442366,3.8595663022054527
1147,JD,ctx-lh-supramarginal,3.745221514261842,3.8591085024607654,3.9243060586312812
1148,JD,ctx-lh-frontalpole,3.399144950033141,3.4322382947320698,3.5616812171949888
1149,JD,ctx-lh-temporalpole,3.575684818877823,3.845435971234008,3.7466626593497407
1150,JD,ctx-lh-transversetemporal,4.23325806576024,4.353994540438003,4.435678961031195
1151,JD,ctx-lh-insula,4.234307651432084,4.3948836569758924,4.436778734541355
1152,JD,ctx-rh-bankssts,4.202363545512358,4.242739014484206,4.403307163388362
1153,JD,ctx-rh-caudalanteriorcingulate,3.828224394424147,3.846181156442439,4.011277871717477
