,tts,1001,1002,1003,1004,1005,1007,1009,1013,1015,1020,1022,1023,PP,MM,FR,KT,JD,PP-r,MM-r,FR-r,KT-r,JD-r
48,720,3.68309213770859,3.5338363086108746,1.0051091877293148,3.2820086165743674,5.7993721745288,2.289056397426047,3.0701685078662098,3.809262988624519,3.1211380616162163,2.8638050573567564,6.70448353276923,2.843029562872973,3.030839241831529,2.847146955579441,6.734801635079629,5.113054202389984,3.4414038748750686,2.6225627663050495,4.03373036074292,3.2507047223780487,4.418642723414623,3.692489537082853
49,735,3.6591878388317767,3.5112399203379003,0.9724675762357642,3.240953615612351,5.715704265191702,2.2712583456585747,3.035157742489385,3.779514965308009,3.09676387477027,2.8251729768297293,6.646109426564102,2.817986052167568,2.9979710772211567,2.8206085844245905,6.70936377062305,5.087269598271694,3.4071270589029514,2.595848465713816,3.985298144696562,3.2236999841700777,4.37560336635399,3.6554529743526474
50,750,3.6352835399549632,3.4886435320649265,0.9398259647422136,3.1998986146503343,5.632036355854604,2.253460293891102,3.0001469771125597,3.7497669419914987,3.0723896879243244,2.7865408963027027,6.587735320358974,2.7929425414621623,2.9651029126107846,2.79407021326974,6.683925906166471,5.061484994153403,3.3728502429308347,2.5691341651225827,3.9368659286502035,3.1966952459621063,4.332564009293357,3.6184164116224418
51,765,3.6113792410781502,3.4660471437919527,0.9071843532486631,3.158843613688318,5.548368446517506,2.23566224212363,2.965136211735735,3.720018918674988,3.0480155010783783,2.7479088157756753,6.529361214153846,2.767899030756757,2.932234748000413,2.76753184211489,6.658488041709893,5.035700390035113,3.3385734269587175,2.5424198645313494,3.888433712603845,3.1696905077541353,4.289524652232724,3.581379848892236
52,780,3.587474942201337,3.443450755518979,0.8745427417551126,3.1177886127263017,5.464700537180407,2.2178641903561576,2.9301254463589097,3.690270895358478,3.0236413142324325,2.7092767352486486,6.470987107948718,2.7428555200513514,2.899366583390041,2.7409934709600394,6.633050177253314,5.009915785916823,3.3042966109866008,2.515705563940116,3.8400014965574862,3.1426857695461643,4.246485295172091,3.5443432861620305
53,795,3.5635706433245233,3.420854367246005,0.841901130261562,3.0767336117642854,5.381032627843309,2.2000661385886855,2.895114680982085,3.660522872041968,2.9992671273864864,2.6706446547216216,6.41261300174359,2.717812009345946,2.8664984187796687,2.714455099805189,6.607612312796735,4.984131181798532,3.270019795014484,2.4889912633488827,3.7915692805111276,3.115681031338193,4.203445938111458,3.507306723431825
54,810,3.53966634444771,3.398257978973031,0.8092595187680115,3.035678610802269,5.297364718506211,2.182268086821213,2.8601039156052597,3.6307748487254576,2.9748929405405407,2.6320125741945946,6.354238895538462,2.6927684986405405,2.8336302541692966,2.6879167286503387,6.582174448340156,4.958346577680242,3.235742979042367,2.462276962757649,3.743137064464769,3.088676293130222,4.160406581050825,3.4702701607016193
55,825,3.515762045570897,3.3756615907000573,0.776617907274461,2.9946236098402528,5.213696809169114,2.164470035053741,2.825093150228435,3.601026825408947,2.9505187536945945,2.5933804936675675,6.295864789333333,2.6677249879351352,2.800762089558925,2.6613783574954883,6.556736583883578,4.932561973561952,3.20146616307025,2.435562662166416,3.694704848418411,3.061671554922251,4.117367223990192,3.4332335979714137
56,840,3.4918577466940834,3.3530652024270835,0.7439762957809104,2.9535686088782365,5.130028899832015,2.1466719832862684,2.79008238485161,3.571278802092437,2.9261445668486488,2.5547484131405405,6.237490683128205,2.64268147722973,2.767893924948553,2.634839986340638,6.5312987194269985,4.906777369443661,3.167189347098133,2.408848361575182,3.6462726323720522,3.03466681671428,4.0743278669295595,3.396197035241208
57,855,3.46795344781727,3.3304688141541097,0.7113346842873599,2.91251360791622,5.046360990494917,2.1288739315187963,2.755071619474785,3.5415307787759267,2.9017703800027026,2.5161163326135134,6.179116576923077,2.6176379665243243,2.735025760338181,2.6083016151857876,6.50586085497042,4.880992765325372,3.132912531126016,2.3821340609839488,3.5978404163256936,3.0076620785063084,4.031288509868927,3.3591604725110025
58,870,3.4440491489404566,3.3078724258811354,0.6786930727938094,2.871458606954204,4.962693081157819,2.111075879751324,2.7200608540979596,3.5117827554594165,2.877396193156757,2.4774842520864864,6.120742470717948,2.592594455818919,2.702157595727809,2.5817632440309373,6.4804229905138415,4.855208161207081,3.0986357151538995,2.3554197603927154,3.549408200279335,2.9806573402983374,3.9882491528082937,3.322123909780797
59,885,3.4201448500636435,3.2852760376081616,0.6460514613002588,2.8304036059921875,4.879025171820721,2.0932778279838518,2.685050088721135,3.482034732142906,2.8530220063108107,2.4388521715594593,6.06236836451282,2.5675509451135134,2.669289431117437,2.555224872876087,6.454985126057263,4.829423557088791,3.0643588991817823,2.328705459801482,3.5009759842329764,2.9536526020903664,3.945209795747661,3.2850873470505917
60,900,3.39624055118683,3.2626796493351877,0.6134098498067083,2.789348605030171,4.7953572624836225,2.0754797762163792,2.65003932334431,3.4522867088263958,2.828647819464865,2.4002200910324323,6.003994258307692,2.5425074344081082,2.6364212665070648,2.5286865017212365,6.429547261600684,4.803638952970501,3.0300820832096655,2.3019911592102487,3.452543768186618,2.926647863882395,3.902170438687028,3.2480507843203856
61,915,3.3723362523100167,3.240083261062214,0.5807682383131578,2.7482936040681545,4.711689353146524,2.057681724448907,2.615028557967485,3.4225386855098856,2.804273632618919,2.3615880105054052,5.945620152102564,2.517463923702703,2.603553101896693,2.502148130566386,6.404109397144105,4.777854348852211,2.9958052672375484,2.2752768586190153,3.404111552140259,2.899643125674424,3.859131081626395,3.2110142215901805
62,930,3.348431953433203,3.21748687278924,0.5481266268196072,2.707238603106138,4.628021443809427,2.0398836726814347,2.58001779259066,3.3927906621933754,2.779899445772973,2.322955929978378,5.887246045897436,2.4924204129972973,2.570684937286321,2.475609759411536,6.378671532687527,4.75206974473392,2.9615284512654316,2.248562558027782,3.3556793360939006,2.872638387466453,3.8160917245657626,3.173977658859975
63,945,3.32452765455639,3.1948904845162662,0.5154850153260567,2.666183602144122,4.544353534472329,2.0220856209139626,2.5450070272138348,3.3630426388768653,2.755525258927027,2.284323849451351,5.828871939692307,2.467376902291892,2.537816772675949,2.4490713882566855,6.353233668230947,4.72628514061563,2.927251635293315,2.2218482574365486,3.307247120047542,2.845633649258482,3.7730523675051297,3.1369410961297692
64,960,3.3006233556795768,3.1722940962432924,0.48284340383250623,2.6251286011821056,4.4606856251352305,2.00428756914649,2.50999626183701,3.3332946155603547,2.731151072081081,2.245691768924324,5.7704978334871795,2.4423333915864864,2.504948608065577,2.422533017101835,6.327795803774369,4.70050053649734,2.8929748193211977,2.195133956845315,3.2588149040011833,2.8186289110505105,3.730013010444497,3.0999045333995636
65,975,3.2767190568027633,3.1496977079703186,0.45020179233895574,2.584073600220089,4.377017715798132,1.9864895173790178,2.4749854964601847,3.3035465922438445,2.706776885235135,2.207059688397297,5.7121237272820515,2.417289880881081,2.472080443455205,2.3959946459469847,6.30235793931779,4.6747159323790495,2.858698003349081,2.168419656254082,3.2103826879548247,2.7916241728425395,3.686973653383864,3.062867970669358
66,990,3.25281475792595,3.1271013196973447,0.41756018084540514,2.5430185992580725,4.293349806461034,1.9686914656115455,2.43997473108336,3.2737985689273343,2.6824026983891893,2.16842760787027,5.653749621076923,2.392246370175676,2.439212278844833,2.3694562747921344,6.276920074861211,4.648931328260759,2.824421187376964,2.1417053556628485,3.161950471908466,2.7646194346345685,3.6439342963232315,3.0258314079391524
